#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0
0,6,0,2,0,1,0,4,1,12,1,0,0,0,0,0,0,0,1,3,5,3,12,0,4,5,7,0,0,1,17,0,0,0,0,0,0,24,1,1
4,26,1,4,2,5,1,11,1,29,1,0,6,0,0,3,0,1,3,11,20,14,31,0,19,16,27,0,0,9,40,0,0,1,1,0,1,49,6,5
18,42,10,17,9,22,5,28,20,52,8,0,28,1,0,12,0,1,8,25,43,28,67,1,42,35,58,0,0,16,73,0,0,1,7,0,7,100,16,13
39,60,16,32,14,52,9,55,39,71,24,1,57,5,2,20,0,2,18,51,77,46,104,5,71,72,94,2,0,38,120,0,1,1,13,1,26,145,37,22
69,84,39,62,22,92,17,98,71,97,43,1,91,13,3,35,0,6,34,81,114,68,144,10,98,113,134,6,0,65,164,1,2,1,30,1,48,193,56,47
112,125,51,97,40,146,31,127,109,125,74,4,137,25,11,59,0,14,57,118,154,87,181,17,124,141,165,14,0,89,216,4,5,2,36,1,80,239,86,73
159,153,66,142,56,208,41,155,149,144,105,5,172,41,19,89,1,27,76,141,188,112,248,26,156,170,197,29,2,114,264,8,11,4,54,1,114,295,108,102
207,186,93,191,87,269,55,191,189,176,138,15,226,63,31,116,1,41,100,175,218,130,280,41,182,201,243,60,7,133,303,16,22,8,74,2,150,334,133,137
264,218,111,239,122,339,66,226,243,192,172,23,274,88,47,160,4,54,114,200,259,163,317,51,206,233,278,82,13,151,335,24,39,20,93,9,192,398,155,164
317,253,132,289,152,404,81,256,276,220,199,38,323,115,67,196,6,68,151,225,301,188,356,67,232,254,328,112,21,182,383,37,51,35,114,16,235,452,180,201
386,272,152,338,181,483,93,275,314,257,227,51,377,132,95,230,13,82,175,262,329,203,376,87,250,281,363,138,30,205,429,57,71,58,134,30,264,506,205,229
448,300,164,384,217,553,109,300,361,297,257,75,417,151,118,264,17,104,197,291,358,215,418,97,273,317,400,179,42,230,475,74,87,88,153,41,301,548,232,247
512,335,174,428,245,615,127,324,412,329,288,106,452,167,143,303,33,122,224,332,386,233,451,109,307,355,437,227,68,258,518,99,100,126,169,56,337,589,251,277
567,357,196,466,268,683,137,352,454,357,325,121,494,187,165,335,51,134,249,365,419,247,501,125,338,388,473,253,91,277,576,125,122,160,181,72,385,636,271,300
624,389,208,515,303,734,145,380,476,382,350,146,538,210,199,370,76,149,283,396,457,262,538,138,358,413,514,294,110,297,625,157,140,193,195,94,408,680,291,322
676,418,230,545,325,793,152,415,505,403,373,172,583,235,228,404,93,163,315,415,499,278,581,150,388,442,554,328,135,319,671,177,159,228,205,117,448,726,314,346
743,435,237,593,340,851,160,441,553,440,402,196,619,252,252,436,119,176,336,451,532,291,609,163,412,468,582,367,160,334,711,196,183,272,223,138,471,767,338,368
791,465,255,637,364,916,168,467,587,477,433,215,653,274,283,469,140,186,367,487,570,302,651,182,434,505,617,390,190,349,762,215,196,311,244,169,514,814,352,399
840,483,270,681,385,967,178,492,624,503,468,244,691,309,317,507,169,205,389,517,606,325,690,199,463,525,653,433,219,369,820,238,210,351,267,182,555,858,380,417
876,508,291,714,411,1036,195,516,660,534,501,266,737,321,343,535,202,222,415,539,653,344,721,210,486,559,696,472,246,392,867,261,218,388,285,213,576,912,400,441
929,527,305,750,432,1090,206,542,697,552,528,301,771,340,376,570,236,242,441,573,684,365,748,225,516,587,731,508,271,415,908,278,238,427,308,228,613,956,422,456
979,556,312,787,437,1157,220,563,712,567,550,331,812,358,399,614,269,257,479,595,714,380,771,232,537,615,758,545,308,434,938,296,257,464,314,252,638,1005,440,479
1026,585,324,827,470,1210,226,596,740,591,568,351,850,379,427,662,304,265,495,625,737,399,812,247,556,654,784,579,335,454,989,319,274,507,335,281,669,1055,453,500
1065,605,332,874,490,1269,237,628,773,615,601,379,887,403,448,692,358,283,518,656,769,413,862,258,584,688,830,606,367,474,1013,336,286,548,352,305,699,1081,478,519
1130,621,352,917,514,1308,245,659,793,630,615,399,926,418,473,727,401,296,531,693,808,421,887,268,609,708,858,649,404,495,1041,364,304,591,375,350,726,1122,501,543
1187,640,361,953,553,1360,253,694,822,650,639,427,948,437,491,763,450,302,556,721,847,434,920,278,626,739,892,683,431,507,1066,389,321,623,394,368,764,1152,521,564
1234,652,373,989,572,1417,263,713,853,675,679,450,990,458,512,796,484,309,572,743,872,451,947,292,641,766,915,713,460,519,1094,396,332,666,396,395,793,1187,542,593
1278,669,394,1032,592,1478,269,740,887,705,699,481,1031,470,534,829,529,319,604,774,903,461,971,305,666,789,933,730,490,542,1127,422,342,699,415,426,818,1219,569,622
1327,700,413,1068,617,1530,274,769,927,731,729,500,1074,495,555,857,566,334,636,800,931,477,1003,311,690,813,955,760,518,556,1155,440,356,733,424,452,847,1256,590,652
1368,720,423,1105,623,1609,277,796,946,756,748,526,1107,518,579,893,610,351,656,823,960,498,1020,328,706,849,975,788,544,570,1178,457,378,774,431,483,883,1292,609,678
1406,742,436,1157,650,1658,291,820,974,782,769,549,1131,540,601,945,656,363,678,846,999,507,1027,335,732,886,1003,806,582,589,1217,478,400,812,452,509,908,1333,629,697
1453,766,444,1193,673,1703,300,834,999,802,793,568,1145,566,620,977,701,368,704,872,1026,527,1040,345,765,904,1029,839,614,610,1244,503,421,850,466,527,935,1368,650,707
1492,784,459,1226,685,1736,306,857,1029,822,807,590,1183,584,634,1019,723,381,723,900,1049,533,1063,352,795,935,1053,867,637,623,1268,528,432,887,481,548,972,1416,664,714
1535,794,471,1246,696,1773,313,872,1049,837,840,609,1213,603,652,1056,761,399,747,936,1082,550,1086,353,819,962,1076,887,659,637,1292,542,450,919,496,566,997,1453,682,748
1570,823,479,1274,704,1817,316,898,1070,851,876,635,1243,626,667,1093,795,409,767,955,1112,563,1109,360,848,978,1102,919,690,660,1336,557,466,958,511,596,1024,1495,695,766
1605,850,491,1321,710,1842,327,925,1102,882,897,654,1258,644,689,1118,839,413,788,981,1143,575,1134,379,864,1004,1137,955,727,678,1375,577,486,994,525,614,1060,1538,723,784
1649,871,503,1349,714,1877,338,943,1125,922,921,666,1291,656,710,1147,874,424,800,1015,1166,577,1158,389,876,1034,1144,990,758,700,1389,599,499,1026,531,630,1074,1566,742,802
1693,887,513,1387,740,1929,352,975,1145,951,958,677,1323,672,731,1173,906,436,823,1043,1192,604,1183,392,884,1058,1176,1012,793,708,1405,615,506,1067,540,664,1091,1615,760,804
1738,899,529,1416,750,1962,352,998,1158,973,973,702,1361,684,754,1213,939,444,859,1078,1205,618,1208,406,900,1074,1207,1043,828,727,1446,637,522,1090,548,690,1114,1644,787,833
1781,920,538,1451,758,2011,367,1035,1177,992,1001,718,1400,701,762,1244,973,461,876,1098,1240,618,1224,413,919,1100,1236,1066,860,735,1475,650,548,1114,557,708,1131,1674,802,861
1829,930,547,1480,774,2054,375,1067,1211,1009,1021,741,1435,723,774,1268,1001,474,901,1109,1263,628,1248,421,942,1118,1251,1090,893,739,1491,667,566,1126,569,726,1155,1709,822,890
1874,952,564,1513,776,2108,390,1088,1245,1021,1041,763,1453,749,792,1303,1041,483,908,1146,1303,643,1260,427,957,1138,1282,1128,915,758,1509,689,592,1168,579,748,1190,1749,837,916
1908,975,574,1555,790,2158,398,1109,1266,1047,1061,793,1481,773,800,1345,1073,488,928,1167,1331,652,1272,436,958,1154,1303,1167,944,769,1536,714,610,1205,590,760,1206,1778,855,933
1939,979,586,1590,803,2211,412,1136,1290,1067,1079,824,1512,784,814,1384,1099,491,946,1188,1369,669,1298,440,973,1191,1322,1196,964,786,1564,730,623,1230,607,785,1227,1799,868,953
1970,1001,595,1625,836,2234,414,1157,1319,1096,1099,848,1534,797,821,1418,1130,504,967,1221,1400,679,1303,445,988,1207,1336,1242,992,798,1574,745,636,1265,616,803,1250,1829,879,970
2013,1002,613,1652,848,2285,426,1186,1339,1114,1120,862,1553,817,829,1450,1157,516,996,1241,1414,692,1324,448,1009,1250,1357,1272,1018,819,1587,752,641,1296,621,807,1273,1867,893,997
