#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,4,2,1,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,5,2,1,0,0,11,3,8,0,4,1,0,0,2,0,0,0,2,0,0,1
14,14,11,4,0,1,9,0,1,29,0,0,0,1,1,1,1,1,1,20,4,5,0,0,27,27,23,0,15,1,1,0,8,4,0,0,3,0,1,2
35,31,22,13,0,1,16,0,3,56,2,0,0,4,3,8,1,4,2,43,14,8,7,1,49,43,45,0,25,7,1,0,20,13,0,0,8,0,3,6
62,68,35,34,1,10,32,3,6,94,3,0,0,6,8,21,3,14,5,72,19,19,13,3,76,80,85,0,40,11,3,4,38,29,0,4,21,0,9,12
85,110,53,59,2,18,43,6,11,133,9,0,1,12,16,39,9,31,13,106,42,37,22,4,90,102,117,0,54,21,16,11,75,53,1,5,42,2,16,31
102,158,71,77,5,35,58,12,20,180,12,0,2,26,29,59,18,55,17,143,71,61,35,13,108,135,163,1,71,34,19,18,96,79,6,10,66,2,33,48
126,207,89,98,10,62,71,24,40,223,22,1,4,34,49,75,37,84,26,185,110,84,48,24,127,175,216,2,90,52,25,39,131,113,16,16,89,4,52,66
152,244,111,119,18,78,86,32,55,263,27,4,17,45,77,97,42,117,36,222,151,102,59,50,145,219,253,6,118,69,33,54,163,139,23,20,119,6,72,80
173,296,134,134,32,92,106,40,71,304,40,7,24,57,94,122,54,161,42,263,184,121,68,72,156,240,284,10,132,83,39,69,191,160,37,30,152,10,93,108
192,340,152,146,49,115,120,51,105,353,54,7,28,72,126,151,60,190,50,306,215,145,78,99,178,277,328,20,144,96,50,89,224,180,50,44,184,16,103,128
208,372,163,175,64,126,133,65,137,411,64,16,37,81,159,179,71,225,65,338,242,168,85,120,194,305,369,40,164,107,59,114,263,211,62,59,206,25,124,145
229,405,185,195,75,143,142,71,164,448,83,20,51,91,188,204,86,252,68,368,272,195,91,146,208,343,405,51,181,120,65,138,279,239,83,74,234,32,148,163
252,447,202,208,82,150,161,87,201,488,102,34,60,100,214,224,96,291,79,403,309,210,95,163,226,381,441,80,198,140,75,169,308,261,108,89,256,45,171,175
279,477,224,228,98,174,172,95,233,521,120,46,80,105,236,250,105,325,89,441,343,229,103,190,244,410,461,107,216,155,85,189,332,276,139,110,275,59,190,190
295,510,245,247,117,188,190,106,258,579,144,64,98,123,263,279,116,367,96,470,390,254,114,224,257,439,493,128,223,165,91,219,358,298,161,126,298,75,206,208
312,555,261,266,140,204,196,113,281,614,172,76,118,137,283,312,129,411,101,498,419,268,123,257,268,471,526,153,238,179,99,254,383,312,179,138,321,95,224,223
330,581,282,277,154,225,207,122,307,643,193,99,136,149,298,328,143,451,110,521,456,293,130,277,277,506,542,182,251,201,106,277,399,321,198,155,343,121,238,242
345,627,293,290,177,252,226,138,332,678,207,116,149,157,320,352,156,492,124,552,488,312,135,304,293,544,571,212,265,221,110,295,426,344,213,167,371,141,259,264
360,662,312,301,196,266,237,151,361,716,227,135,173,169,351,374,172,530,136,568,523,326,143,330,296,567,605,229,283,231,115,319,448,372,229,188,389,166,275,284
392,706,328,313,212,279,249,159,400,750,247,157,196,179,379,394,189,564,147,598,563,340,155,357,308,588,637,261,306,249,119,342,472,392,248,210,413,190,292,300
411,735,348,325,225,293,258,176,432,779,272,170,217,192,402,416,196,593,158,618,592,350,167,379,321,614,658,284,317,263,128,360,496,418,264,226,437,213,304,306
437,770,367,339,235,310,272,193,455,818,286,188,228,212,431,422,208,631,168,630,629,364,167,410,333,645,694,314,338,276,137,382,524,440,277,241,450,235,328,318
456,798,382,350,251,327,288,204,484,865,308,208,250,228,454,439,215,671,184,653,648,380,175,427,352,678,717,339,360,288,145,391,539,462,283,243,463,260,340,334
481,824,410,363,266,336,301,218,508,899,333,224,274,239,475,457,221,700,193,685,685,398,180,460,360,704,762,368,374,302,154,410,562,468,299,260,482,289,359,357
502,848,429,372,278,352,319,229,527,934,353,245,289,250,497,481,230,736,208,730,706,433,190,481,373,737,784,397,384,323,159,425,596,493,314,273,495,304,373,372
522,881,450,389,290,364,332,236,545,975,371,262,303,256,515,497,239,773,218,756,734,453,195,500,387,775,812,426,402,328,168,441,610,509,322,300,507,329,385,387
543,918,469,404,313,379,336,243,575,995,384,284,321,265,538,510,247,792,230,791,768,475,209,524,394,808,838,450,412,341,180,457,634,521,344,316,521,360,404,403
553,953,494,413,326,395,347,257,592,1025,406,303,337,276,559,529,254,823,238,819,805,489,220,550,401,828,868,479,427,345,191,473,656,536,363,329,549,381,428,418
570,992,513,421,338,410,367,264,614,1051,426,320,355,289,565,546,258,842,249,836,837,507,233,571,410,861,900,505,442,357,200,490,670,564,374,345,560,401,431,427
585,1031,532,439,349,426,376,279,629,1074,439,328,373,288,583,559,267,875,258,861,868,533,243,594,414,884,933,524,451,373,208,507,699,577,395,360,580,420,445,445
605,1051,553,445,360,441,392,290,641,1103,456,346,390,296,600,569,270,904,267,875,906,548,252,624,427,897,948,552,461,386,216,523,716,600,415,373,589,436,462,461
638,1085,566,458,376,454,408,298,663,1144,474,365,397,306,619,587,279,931,279,897,931,569,260,648,448,923,981,569,473,395,222,535,741,607,426,390,610,454,485,476
658,1111,586,468,392,470,422,313,687,1177,486,374,411,307,649,602,289,959,291,929,960,581,261,665,462,943,997,593,480,400,230,561,752,615,434,403,629,470,495,493
665,1148,598,476,400,486,431,324,711,1198,505,384,421,317,675,617,304,987,297,953,986,600,264,689,471,966,1018,613,486,409,233,585,762,622,443,413,652,483,514,507
689,1176,613,498,416,495,443,330,732,1230,519,404,443,321,695,643,316,1012,304,983,1021,621,278,701,477,996,1047,622,504,417,241,599,782,646,453,434,675,509,530,526
701,1202,643,506,427,507,449,340,754,1261,528,419,459,327,725,667,325,1041,312,1001,1057,637,289,724,489,1025,1063,636,506,427,247,613,807,656,459,445,701,532,548,537
713,1243,655,521,439,518,455,358,775,1291,548,429,478,337,739,684,331,1066,325,1022,1076,646,302,747,505,1040,1090,649,521,438,258,640,821,672,473,462,719,551,567,557
738,1281,675,540,451,520,467,375,788,1334,568,443,496,344,760,696,340,1089,337,1038,1109,662,308,769,517,1071,1109,658,534,442,261,672,845,682,483,469,744,569,578,576
756,1311,696,561,467,528,476,381,810,1375,586,455,513,349,784,713,347,1114,344,1062,1133,682,316,781,519,1096,1139,684,545,453,262,688,866,693,499,486,761,604,604,586
775,1341,714,571,481,542,482,392,827,1404,605,473,526,355,801,726,353,1146,354,1086,1169,704,329,806,524,1115,1154,693,559,465,277,710,893,704,509,504,773,617,606,605
803,1371,726,580,499,548,494,403,846,1428,622,487,544,364,821,744,362,1170,359,1112,1196,721,339,819,529,1134,1182,716,576,482,280,734,897,721,520,515,794,630,633,613
832,1397,737,589,511,562,506,420,861,1471,633,501,558,378,845,766,368,1191,368,1142,1219,731,356,841,537,1152,1201,719,586,492,292,740,916,739,524,531,800,638,644,619
842,1443,753,595,532,571,512,443,875,1510,638,515,579,389,868,785,374,1217,376,1171,1245,743,361,860,542,1170,1235,740,595,503,296,755,936,754,517,546,820,646,655,635
856,1466,772,612,536,587,525,454,898,1552,646,529,590,397,890,798,379,1245,375,1192,1280,741,367,885,546,1194,1249,769,598,511,297,763,942,763,523,561,832,666,667,647
880,1493,785,630,552,599,540,460,921,1586,669,541,601,402,913,819,385,1268,385,1207,1298,756,373,910,555,1204,1262,783,614,523,305,775,958,769,530,571,843,686,677,651
895,1517,809,639,562,601,552,465,936,1626,688,558,616,411,930,823,393,1270,396,1235,1319,770,385,938,561,1227,1285,801,625,527,309,790,970,761,534,586,856,691,696,664
909,1555,816,657,567,602,563,474,957,1654,701,576,629,419,940,833,399,1299,404,1259,1343,793,394,961,572,1243,1309,820,634,536,317,803,973,769,547,600,875,693,709,668
922,1582,829,657,580,614,578,483,986,1678,723,589,628,426,956,850,399,1327,413,1277,1364,801,403,984,576,1256,1332,836,638,549,330,816,987,783,554,618,875,707,726,675
