#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,3,1,0,0,0,2,0,0,0,0,0
0,0,0,0,0,2,0,2,0,0,5,0,1,4,0,0,0,3,4,4,3,0,1,15,8,9,5,3,2
0,0,5,6,2,2,3,7,10,2,23,2,14,15,5,14,6,12,12,17,2,5,10,22,15,22,13,19,0
0,2,3,17,10,16,7,18,27,12,46,19,27,28,8,20,8,23,29,30,18,16,10,44,33,42,21,22,14
3,0,0,30,12,15,14,29,21,13,52,17,32,33,8,28,16,24,40,25,9,21,17,53,43,54,36,27,20
13,4,19,47,32,23,19,47,42,17,83,42,48,41,23,41,31,39,61,58,15,41,28,75,64,74,45,40,44
19,18,19,57,41,30,26,53,57,31,95,51,59,58,28,58,32,51,72,64,20,39,36,85,78,95,64,46,41
30,28,27,69,57,41,30,64,63,35,114,70,67,66,39,60,41,57,95,72,26,55,41,109,103,112,61,49,62
43,41,44,110,72,54,47,97,90,47,166,97,96,90,49,77,58,70,137,108,48,84,54,144,129,151,84,89,92
47,45,45,124,95,74,58,113,101,60,183,113,114,109,50,94,63,82,154,123,51,99,55,154,146,163,104,96,113
71,52,66,161,128,78,67,127,125,75,222,119,142,121,64,113,69,100,194,153,68,120,83,182,179,205,121,119,135
86,83,75,204,146,102,93,163,158,86,247,146,174,165,78,136,97,119,237,192,83,149,97,210,213,228,157,158,157
94,91,82,225,157,112,103,167,161,101,251,151,190,187,86,153,108,123,249,227,94,155,107,230,238,246,160,172,169
104,96,84,228,157,118,109,178,165,103,254,163,206,197,97,176,121,133,275,233,110,169,129,261,253,274,186,192,174
127,123,119,308,193,153,130,228,212,146,310,196,258,252,107,211,146,165,341,311,138,212,157,294,291,310,215,242,209
139,133,126,323,200,164,143,244,227,150,323,210,277,279,111,234,163,179,377,339,146,236,174,316,317,344,222,277,218
140,139,132,311,201,170,146,251,224,156,334,208,267,293,129,245,176,187,372,355,159,256,183,313,313,372,235,279,226
150,164,156,323,211,179,154,267,254,166,356,239,284,303,132,277,186,207,413,392,183,295,210,350,356,395,246,312,250
180,195,190,364,218,205,175,297,293,182,396,258,306,351,145,306,202,227,446,422,206,339,219,368,389,441,263,348,270
