#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
2,1,0,0,2,0,0,0,0,0,1,0,0,1,0,4,0,0,1,3,3,0,3,0,1,0,0,0,5,1,6,3,1,3,0,0,0,2,0,0
10,4,4,2,7,2,2,6,3,1,2,4,2,2,0,18,2,0,4,4,12,2,17,1,6,1,5,0,7,5,26,5,8,4,0,5,2,5,1,0
30,8,6,7,18,8,2,13,4,6,5,11,6,7,0,30,8,1,18,12,28,6,35,4,13,6,16,4,18,8,49,12,12,7,2,12,4,15,5,0
51,14,13,13,31,21,2,23,11,18,8,23,15,19,7,55,21,3,26,30,54,10,55,7,28,15,28,14,38,19,81,22,23,15,4,25,8,34,13,2
80,23,20,25,61,43,4,40,28,28,14,39,23,36,15,80,34,8,43,47,76,15,82,12,40,25,47,22,64,24,109,35,37,28,6,34,15,56,20,8
117,39,34,43,86,86,7,58,44,38,29,61,32,55,26,103,57,14,71,80,117,30,111,15,53,39,85,36,86,37,164,57,48,39,9,48,35,79,36,13
169,55,47,72,113,124,12,85,62,52,39,76,49,71,46,141,81,25,91,104,148,43,142,15,74,63,112,66,116,47,214,74,65,60,14,60,54,107,52,29
216,72,68,94,140,172,14,110,76,67,54,102,71,94,63,182,97,33,122,134,188,48,187,26,88,85,141,90,146,58,258,92,77,77,17,79,75,137,67,46
265,103,79,124,152,225,25,133,109,81,73,117,96,106,85,222,121,42,150,168,226,60,219,36,115,117,179,115,168,72,295,121,101,106,30,101,98,168,81,61
321,134,91,157,186,278,32,162,143,103,95,146,132,137,115,257,161,53,174,204,259,72,269,46,144,136,209,148,193,82,335,142,129,147,31,122,123,206,95,75
358,153,105,194,203,324,35,201,174,122,114,177,168,164,133,292,199,68,196,242,291,83,300,61,172,169,238,180,227,101,392,160,148,189,44,148,149,247,113,90
418,179,124,235,228,376,42,229,209,153,137,201,206,202,172,335,233,72,223,276,330,101,357,70,195,204,270,211,260,118,450,182,171,224,51,173,181,279,132,111
462,200,141,272,249,431,54,261,234,177,159,227,236,220,198,374,281,98,252,305,363,111,390,83,224,232,296,254,292,133,499,208,192,263,58,203,218,318,150,125
511,227,152,313,274,492,61,294,255,202,189,255,283,239,225,415,310,111,282,342,399,126,422,96,252,265,334,294,326,144,545,235,217,297,70,252,248,363,171,143
559,257,171,353,307,544,82,325,297,225,212,283,327,263,257,445,347,119,302,363,442,134,453,110,278,291,362,338,353,162,595,261,230,337,89,290,286,399,201,160
608,282,193,407,352,610,96,356,338,253,249,317,377,280,286,489,404,131,323,386,482,148,494,129,308,320,390,363,383,173,634,292,243,375,102,310,322,444,215,175
650,310,213,449,364,671,102,391,375,288,290,340,414,297,313,520,443,141,352,417,525,166,532,141,337,359,425,406,419,195,671,310,250,405,117,338,348,490,226,193
693,344,229,493,396,740,116,416,411,313,324,376,463,319,336,556,494,153,378,445,553,184,567,159,354,389,459,445,452,209,710,338,272,446,126,366,383,526,249,213
