#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,1,15,12,22,6,15,12,1,4,12,3,9,1,0,5,3,1,3,4,17,0,13,1,3,1,0,16,11,0,1,0,5,0,0,1,0,1,5,0
37,7,34,70,65,48,32,54,20,32,42,17,49,3,9,23,31,6,21,38,52,0,64,12,20,3,6,67,54,1,9,2,24,14,1,10,4,7,27,15
112,19,67,163,135,134,60,112,56,74,103,47,119,18,29,85,85,14,72,108,111,4,137,27,48,19,22,134,110,9,36,7,57,46,11,34,21,33,74,52
210,40,104,238,196,258,79,186,113,129,154,86,208,37,51,138,161,27,122,190,187,14,224,56,80,54,68,217,180,21,83,26,104,110,26,79,48,73,127,99
322,90,141,334,256,386,98,238,179,182,213,149,298,76,105,208,235,44,178,250,278,34,310,81,139,98,134,291,245,54,148,57,147,165,49,127,104,132,164,146
427,131,168,405,312,529,121,297,262,237,285,217,408,125,164,282,320,68,242,316,342,71,385,106,194,151,180,385,312,101,222,95,190,243,78,170,183,198,199,188
530,182,201,490,351,674,139,348,334,307,354,256,485,152,214,360,405,101,306,396,424,104,461,126,244,209,255,432,378,146,299,132,233,322,104,231,246,271,239,238
619,226,233,577,403,798,164,407,405,378,415,307,561,197,284,455,481,145,361,459,482,142,524,164,311,272,318,495,438,197,403,176,281,413,135,309,303,354,272,304
735,273,254,670,436,935,181,468,485,426,475,365,653,242,323,528,560,177,421,520,561,170,589,191,366,333,392,578,496,234,473,219,320,484,167,341,365,459,302,346
832,322,297,747,498,1049,203,518,549,482,535,401,727,290,363,602,621,196,466,591,635,204,665,218,417,400,459,629,556,275,556,265,359,568,203,378,437,557,357,391
912,380,324,849,534,1175,223,578,630,528,611,449,803,333,413,670,695,224,510,653,703,238,728,245,464,474,532,694,604,323,623,313,401,644,231,441,509,641,390,442
1008,422,364,934,571,1292,239,623,708,575,656,498,875,376,469,742,768,248,555,722,757,268,779,271,514,540,594,762,650,373,702,348,427,710,256,487,580,745,426,483
1091,461,390,1010,611,1401,257,678,760,630,691,550,959,422,511,816,850,294,589,775,824,297,827,290,558,592,659,807,702,421,780,396,457,777,286,532,635,831,473,536
1197,513,413,1093,641,1505,274,729,818,675,743,598,1032,469,561,878,941,329,646,834,873,327,883,307,611,650,719,854,756,451,849,435,494,840,317,580,684,895,504,565
1288,564,441,1167,678,1617,300,779,868,728,791,639,1083,512,617,944,1022,354,688,880,943,354,936,327,650,704,765,907,807,481,927,467,518,907,343,639,730,997,550,606
1361,616,475,1251,714,1715,316,828,929,764,854,676,1169,552,646,1023,1091,373,741,931,1005,399,1002,346,699,761,827,966,836,502,1006,516,546,962,364,684,767,1095,597,659
1433,667,511,1312,740,1807,339,876,992,819,877,702,1225,596,695,1093,1143,395,796,995,1082,437,1048,379,739,819,874,1017,873,529,1072,568,575,1031,395,717,833,1171,643,691
1522,701,529,1388,788,1904,368,921,1030,852,918,735,1279,629,710,1172,1214,418,834,1054,1134,464,1106,405,762,872,930,1097,919,562,1129,604,612,1100,422,750,896,1241,677,722
1601,760,567,1462,811,1998,382,964,1092,906,971,773,1329,663,739,1236,1279,430,846,1110,1196,494,1161,423,819,914,1008,1157,978,599,1202,632,644,1173,443,783,945,1318,708,752
1672,799,590,1530,825,2093,402,1013,1129,963,1013,811,1398,692,758,1299,1344,452,881,1153,1250,531,1224,441,858,974,1065,1201,1000,636,1244,679,671,1214,474,821,978,1384,741,780
1742,820,622,1583,830,2161,418,1068,1164,1022,1056,846,1456,736,780,1387,1410,468,921,1189,1304,551,1272,458,886,1029,1129,1257,1055,655,1294,706,691,1259,498,868,1038,1481,771,811
1824,855,645,1661,847,2225,432,1115,1189,1062,1086,864,1518,769,824,1432,1488,486,961,1238,1369,572,1312,482,921,1072,1174,1304,1099,688,1354,742,703,1317,519,900,1080,1544,795,842
1890,899,657,1722,893,2336,445,1150,1222,1108,1127,880,1577,819,877,1484,1567,506,1018,1289,1408,596,1368,500,964,1114,1228,1344,1131,710,1431,778,731,1368,539,931,1110,1591,829,861
1957,930,691,1788,913,2410,452,1180,1278,1156,1164,933,1643,856,901,1556,1617,534,1054,1334,1449,633,1413,517,1014,1169,1266,1384,1185,746,1499,805,748,1444,572,958,1156,1648,866,886
2025,946,707,1860,913,2494,468,1233,1326,1209,1198,956,1674,882,921,1624,1672,544,1090,1359,1506,658,1449,538,1050,1214,1322,1456,1235,782,1549,836,774,1500,599,996,1190,1716,903,906
2100,989,747,1906,936,2583,493,1274,1348,1264,1246,981,1723,918,940,1675,1730,570,1134,1410,1563,694,1495,552,1081,1248,1387,1497,1272,815,1599,867,804,1554,621,1009,1215,1778,937,937
2149,1028,777,1941,934,2651,514,1316,1384,1300,1268,1005,1791,954,962,1737,1779,576,1171,1466,1605,720,1544,576,1115,1295,1428,1525,1304,838,1654,903,835,1595,642,1023,1245,1825,964,963
2228,1054,795,1971,960,2739,530,1367,1421,1347,1317,1040,1844,988,981,1810,1838,585,1192,1503,1665,747,1578,590,1148,1351,1475,1567,1336,856,1699,936,860,1654,661,1063,1282,1883,987,997
