#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,11,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,15,0,0,0,0,4,0,0,0,0,12,65,87,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,34,0
0,52,14,26,0,0,19,0,0,17,3,43,119,107,0,0,0,0,24,0,0,20,0,0,0,36,0,40,0,0,0,0,0,0,0,10,0,0,59,0
0,80,30,63,0,0,34,0,0,46,40,66,168,127,0,0,0,0,50,0,0,33,0,0,0,61,0,73,19,22,0,0,0,0,0,42,0,0,79,0
0,114,54,107,8,0,42,0,0,77,74,99,217,151,0,32,0,0,79,0,34,49,0,3,0,99,0,121,63,45,0,3,22,0,0,76,11,38,101,0
0,144,75,157,45,53,58,0,0,117,110,123,268,179,0,74,0,4,113,0,100,62,9,14,0,132,0,168,97,70,0,23,44,7,0,107,71,96,122,0
0,173,99,195,80,128,67,12,0,159,148,147,323,210,0,113,0,20,157,0,148,88,52,35,0,172,0,201,128,98,54,61,62,53,16,135,121,154,140,0
19,212,109,235,112,201,80,48,18,184,182,177,377,234,17,146,17,35,197,0,186,109,101,42,11,197,0,241,164,117,109,90,83,97,40,171,162,212,163,31
68,245,124,290,147,267,87,78,75,228,215,211,425,253,55,184,47,51,228,6,236,129,139,49,43,227,0,286,200,145,162,114,101,140,62,198,193,258,182,71
109,281,141,338,177,339,101,116,113,258,244,241,466,275,92,226,99,64,267,48,279,148,184,62,75,253,0,311,230,172,215,134,120,192,78,218,233,300,198,101
181,297,161,378,200,419,111,154,150,278,271,266,510,294,125,260,141,75,294,80,325,162,218,75,105,286,0,334,259,196,254,158,141,224,101,248,267,349,213,129
238,315,183,443,242,504,121,183,198,306,298,291,549,308,163,308,186,95,323,109,362,170,251,90,130,323,0,354,295,216,292,183,162,267,117,278,296,406,234,158
302,350,206,478,266,573,131,211,250,332,330,306,583,327,187,342,214,111,351,143,403,188,296,102,157,345,16,385,330,242,331,204,185,301,137,299,341,466,252,189
351,379,217,543,289,633,140,245,294,360,356,328,636,338,206,383,256,125,374,182,441,207,328,113,181,368,48,411,365,263,374,224,202,331,158,322,378,513,280,220
403,401,231,585,310,704,149,268,338,391,386,375,676,361,228,420,298,137,402,213,475,223,362,134,202,400,83,446,402,282,425,250,230,371,173,349,432,551,307,238
468,427,246,634,338,769,159,288,384,415,423,391,717,378,268,458,339,147,432,244,497,239,406,143,231,429,125,477,426,304,468,276,247,410,181,381,475,603,323,265
525,446,265,681,363,840,165,310,431,442,449,414,758,392,295,493,383,166,461,291,538,247,441,155,260,455,155,521,452,335,511,298,270,457,196,402,506,664,346,292
570,470,282,718,381,897,173,340,466,456,489,435,800,420,327,526,413,181,483,326,574,266,473,164,289,489,195,559,479,353,547,317,284,498,211,446,550,728,368,322
625,493,292,757,398,950,177,364,499,479,514,461,845,458,358,559,462,193,508,364,603,280,504,183,326,515,239,596,497,364,604,344,308,532,227,461,572,765,385,346
673,517,299,789,415,1016,182,387,536,508,532,484,877,480,390,605,500,201,534,402,639,288,541,189,350,545,276,635,513,376,642,370,329,564,245,490,610,794,408,372
724,540,310,826,445,1074,196,424,568,529,574,513,919,495,429,642,540,214,557,427,657,306,581,207,374,579,300,676,546,395,675,391,340,602,271,512,634,843,435,386
783,556,324,852,469,1125,204,454,595,549,600,540,948,509,456,683,576,235,575,461,688,312,609,218,404,617,341,708,582,413,716,408,362,641,292,535,661,880,444,407
830,579,350,887,483,1200,211,493,619,575,634,552,983,532,486,723,619,253,608,492,720,322,641,226,432,643,374,748,601,436,763,426,383,668,311,559,682,924,465,433
887,607,359,927,511,1269,229,524,667,591,663,580,1018,561,505,757,649,264,635,523,742,333,673,234,459,683,410,786,616,460,791,453,399,699,330,593,728,964,485,455
938,625,364,972,540,1334,237,543,703,619,690,601,1045,571,523,805,680,286,657,555,785,349,698,245,483,715,450,821,650,476,832,478,420,734,338,621,762,1006,500,468
989,653,381,1013,571,1392,248,575,732,643,712,629,1082,597,551,829,715,298,680,575,815,365,732,262,508,740,482,853,672,490,881,508,430,783,356,641,783,1056,514,482
1016,669,396,1053,593,1451,263,594,764,669,736,649,1109,618,575,850,752,301,696,602,845,388,768,281,520,769,534,885,687,506,918,520,441,802,372,665,809,1108,529,505
1074,695,419,1089,612,1511,266,622,799,694,752,674,1149,645,597,894,792,316,705,638,879,404,805,290,546,800,557,896,721,525,957,539,452,838,390,684,854,1146,544,517
1127,707,433,1122,639,1568,272,647,829,725,775,698,1188,673,616,918,837,326,735,667,923,422,830,301,564,823,581,918,748,544,997,561,469,863,401,698,881,1175,555,535
1162,727,442,1171,647,1604,287,665,856,749,790,721,1219,695,637,955,866,331,752,697,949,432,847,322,596,859,606,949,775,555,1037,583,490,890,405,722,906,1204,570,563
1206,765,456,1203,664,1637,292,682,889,775,812,736,1249,710,653,989,909,342,773,736,974,447,875,336,618,878,635,972,801,580,1065,608,514,925,416,739,932,1236,589,586
1253,791,472,1242,689,1692,303,708,926,808,833,755,1271,729,662,1017,948,363,793,757,1001,452,909,348,639,904,658,986,821,596,1093,623,530,964,429,758,955,1275,596,600
1283,813,485,1288,703,1726,316,736,956,826,864,798,1297,748,686,1048,1006,377,813,788,1026,472,937,353,661,935,692,1005,842,617,1120,640,541,1004,446,777,985,1322,616,613
1317,832,493,1327,716,1766,326,760,978,843,882,811,1307,770,696,1087,1033,383,826,818,1049,485,985,374,686,967,717,1030,874,636,1157,658,555,1027,452,803,1005,1355,629,628
1358,856,502,1364,731,1805,328,780,1009,861,891,829,1349,790,702,1132,1073,396,843,860,1069,497,1006,391,710,986,747,1064,906,655,1206,677,566,1059,465,820,1028,1394,655,637
1389,868,512,1406,753,1860,338,802,1036,881,916,833,1373,805,709,1162,1116,421,860,891,1109,513,1038,396,742,1007,786,1085,936,674,1231,693,581,1075,482,838,1061,1412,674,668
1435,879,528,1441,761,1903,344,824,1070,899,934,844,1398,827,747,1205,1127,433,884,914,1140,528,1066,405,775,1030,812,1138,953,692,1266,711,599,1101,495,858,1085,1452,688,690
1483,893,537,1495,765,1959,350,852,1095,924,964,868,1438,850,766,1237,1170,444,896,946,1172,533,1104,420,794,1046,834,1176,983,702,1305,724,608,1125,512,876,1105,1493,706,715
1515,908,549,1520,786,1987,362,872,1107,943,988,891,1464,864,771,1277,1195,454,917,965,1206,545,1137,425,830,1072,866,1217,1000,718,1323,738,629,1157,518,887,1123,1534,722,731
1554,931,562,1559,817,2025,370,902,1125,967,1001,906,1484,875,787,1310,1225,462,931,993,1232,558,1168,429,849,1095,885,1254,1024,731,1346,761,638,1182,529,913,1158,1567,743,752
1587,948,572,1585,838,2081,383,933,1153,995,1027,930,1513,907,786,1338,1251,474,942,1019,1260,568,1190,447,871,1114,913,1273,1047,757,1364,792,650,1224,543,925,1172,1591,762,776
1612,963,588,1606,838,2130,382,961,1173,1015,1047,927,1551,920,795,1373,1288,483,970,1032,1281,579,1220,454,907,1144,939,1300,1075,764,1394,802,673,1247,557,948,1198,1626,785,788
1650,982,602,1636,849,2162,387,989,1202,1032,1083,937,1574,944,822,1396,1323,494,991,1066,1318,591,1251,464,921,1169,954,1341,1106,774,1418,815,688,1290,574,969,1220,1664,809,804
1692,995,614,1671,859,2197,396,1029,1228,1052,1100,946,1608,963,831,1432,1367,503,1004,1092,1342,610,1268,475,937,1185,978,1358,1115,795,1426,836,697,1313,573,977,1248,1685,821,818
1734,1011,634,1690,866,2243,404,1048,1244,1069,1114,959,1621,975,851,1459,1407,517,1020,1103,1359,630,1292,476,952,1214,999,1376,1141,809,1445,851,713,1335,575,1007,1267,1715,831,843
1770,1012,642,1708,873,2280,416,1075,1263,1094,1138,976,1644,986,871,1479,1442,526,1024,1125,1385,640,1298,487,966,1245,1022,1397,1153,820,1462,862,733,1364,582,1015,1292,1747,853,866
