#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,0,0,2,0,3,0,5,3,0,0,0,1,0,1,5,0,0,2,0,3,0,0
0,0,0,0,0,8,0,0,0,11,5,0,0,0,0,0,0,58,0,3,12,0,29,0,14,26,0,5,0,3,0,12,42,0,0,12,0,23,0,1
0,2,2,0,1,31,0,1,0,23,14,0,0,0,0,0,4,117,0,7,48,2,76,0,43,73,0,16,1,12,6,29,81,0,0,26,0,55,3,1
0,3,15,0,4,75,0,11,0,44,27,0,1,0,0,3,8,196,0,22,94,1,113,1,66,129,3,36,2,24,27,67,141,0,0,50,0,93,10,2
0,15,33,0,13,119,0,20,0,62,50,0,4,0,2,11,23,270,0,43,150,6,147,1,84,181,10,67,8,37,49,108,187,0,0,75,0,129,20,14
0,26,62,0,34,164,0,39,0,83,76,0,11,0,5,26,46,339,0,68,216,11,186,1,102,246,27,102,16,55,87,152,251,2,0,107,0,167,39,31
1,44,94,1,64,211,0,62,0,99,111,0,22,2,11,43,84,409,0,103,280,25,233,2,124,306,37,136,24,87,135,198,303,11,0,145,0,214,55,50
1,79,130,4,102,266,0,80,0,128,138,1,45,3,24,67,125,450,0,138,333,36,269,3,148,356,50,164,36,121,181,239,384,14,0,194,0,256,86,73
6,116,174,9,149,334,0,107,1,159,172,2,72,6,42,94,180,534,1,180,389,59,303,5,170,400,75,206,48,134,226,292,452,17,0,220,0,297,115,91
19,156,214,13,212,397,0,123,2,190,205,2,107,8,76,140,232,613,1,222,433,95,340,7,189,455,94,251,79,161,271,347,498,39,0,260,1,340,154,112
32,205,250,21,263,451,0,147,4,214,243,4,151,12,106,185,288,683,2,262,488,122,398,10,204,515,131,293,98,195,323,381,567,51,0,304,7,379,184,131
52,253,290,26,313,513,0,166,8,242,268,6,191,16,133,229,349,747,2,314,536,157,426,12,232,567,167,328,125,231,364,423,631,64,0,333,10,425,217,143
78,300,329,39,373,576,0,190,8,262,308,9,238,21,171,277,397,821,3,342,584,195,466,14,252,625,206,363,164,270,416,455,693,100,0,368,16,466,249,163
123,332,359,59,435,639,1,212,12,287,347,12,275,27,200,322,448,888,4,366,631,229,495,16,269,673,258,408,190,306,483,501,755,128,0,420,26,516,272,182
166,365,393,82,485,706,1,224,14,314,381,15,306,35,244,367,511,966,8,409,667,266,540,24,287,723,310,441,222,330,528,530,821,158,0,464,33,550,292,198
204,406,432,97,556,765,1,247,19,340,432,20,353,49,281,421,567,1031,16,449,703,306,572,33,307,784,352,477,255,357,577,563,889,196,0,500,50,585,321,214
258,439,468,117,613,824,3,277,24,364,465,22,391,62,322,486,620,1092,27,504,754,335,615,37,326,841,395,514,293,387,623,594,951,245,0,545,70,622,341,227
320,474,483,152,673,887,6,293,30,390,523,28,451,70,367,544,671,1160,45,558,795,380,655,44,345,883,435,548,335,416,665,627,1005,293,0,588,91,663,374,240
