#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,#  ,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,1,0,1,0,10,0,0,0,5,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,2,1,6,1,0
3,7,5,0,4,1,18,0,0,0,19,1,0,4,0,9,3,0,10,5,0,9,7,0,0,0,0,3,1,0,2,2,0,11,4,9,3,19,10,3
14,9,12,0,13,5,39,9,2,3,34,1,3,17,8,24,9,5,23,19,0,21,17,0,0,1,1,7,5,2,3,7,2,22,13,24,5,37,17,5
27,16,24,3,30,18,77,14,10,6,60,3,7,21,15,46,21,11,36,31,1,27,25,2,2,4,3,16,8,1,4,15,9,39,24,39,6,58,24,9
32,27,40,7,43,27,98,34,19,9,100,7,11,39,29,65,42,15,50,50,3,38,33,3,3,9,9,18,10,9,12,28,15,51,35,56,10,73,40,13
47,37,50,11,63,40,131,56,28,13,139,8,20,48,47,103,60,23,68,79,15,54,46,5,7,21,13,31,15,18,24,40,27,81,51,89,18,92,55,21
70,53,65,13,95,58,172,95,41,13,177,16,36,66,67,132,86,29,95,104,22,66,61,9,10,31,17,43,26,35,42,52,33,106,68,109,32,107,70,32
91,77,95,17,123,83,204,127,48,25,210,25,53,78,88,159,109,35,125,132,29,89,72,15,22,42,22,53,34,51,64,80,48,127,90,137,45,127,90,40
101,97,127,28,150,115,232,167,68,37,237,36,73,91,106,183,138,53,157,168,39,102,92,25,29,50,34,75,64,68,95,95,63,144,109,152,54,144,107,46
120,116,148,37,170,155,266,203,83,51,277,45,92,113,125,219,175,62,200,209,46,114,108,29,38,62,49,98,90,88,115,110,83,170,130,174,72,170,117,56
142,149,185,51,203,207,300,238,98,63,324,59,114,136,144,252,202,76,233,223,57,132,123,36,47,80,60,118,110,116,148,126,110,195,151,204,87,192,135,69
162,182,229,58,232,261,339,272,115,81,356,69,139,152,171,287,231,85,256,246,72,147,137,43,60,99,70,136,122,142,184,140,129,218,173,225,99,203,156,88
175,203,258,82,248,312,371,314,135,92,390,82,165,166,198,320,261,94,291,283,83,161,138,51,75,111,80,162,149,162,211,157,145,245,193,256,111,218,164,107
